"raw_date","start_string","end_string","start_date","end_date","start_year","end_year","start_yday","end_yday"
"25 Nov. 1762-19 Apr. 1763","25 Nov. 1762","19 Apr. 1763",1762-11-25,1763-04-19,1762,1763,329,109
"15 Nov. 1763-19 Apr. 1764","15 Nov. 1763","19 Apr. 1764",1763-11-15,1764-04-19,1763,1764,319,110
"10 Jan. 1765-25 May 1765","10 Jan. 1765","25 May 1765",1765-01-10,1765-05-25,1765,1765,10,145
"17 Dec. 1765-6 June 1766","17 Dec. 1765","6 June 1766",1765-12-17,1766-06-06,1765,1766,351,157
"11 Nov. 1766-2 June 1767","11 Nov. 1766","2 June 1767",1766-11-11,1767-06-02,1766,1767,315,153
"24 Nov. 1767-10 Mar. 1768","24 Nov. 1767","10 Mar. 1768",1767-11-24,1768-03-10,1767,1768,328,70
"10 May 1768-21 June 1768","10 May 1768","21 June 1768",1768-05-10,1768-06-21,1768,1768,131,173
"8 Nov. 1768-9 May 1769","8 Nov. 1768","9 May 1769",1768-11-08,1769-05-09,1768,1769,313,129
"9 Jan. 1770-19 May 1770","9 Jan. 1770","19 May 1770",1770-01-09,1770-05-19,1770,1770,9,139
"13 Nov. 1770-8 May 1771","13 Nov. 1770","8 May 1771",1770-11-13,1771-05-08,1770,1771,317,128
"21 Jan. 1772-9 June 1772","21 Jan. 1772","9 June 1772",1772-01-21,1772-06-09,1772,1772,21,161
"26 Nov. 1772-1 July 1773","26 Nov. 1772","1 July 1773",1772-11-26,1773-07-01,1772,1773,331,182
"13 Jan. 1774-22 June 1774","13 Jan. 1774","22 June 1774",1774-01-13,1774-06-22,1774,1774,13,173
"29 Nov. 1774-26 May 1775","29 Nov. 1774","26 May 1775",1774-11-29,1775-05-26,1774,1775,333,146
"26 Oct. 1775-23 May 1776","26 Oct. 1775","23 May 1776",1775-10-26,1776-05-23,1775,1776,299,144
"31 Oct. 1776-6 June 1777","31 Oct. 1776","6 June 1777",1776-10-31,1777-06-06,1776,1777,305,157
"20 Nov. 1777-3 June 1778","20 Nov. 1777","3 June 1778",1777-11-20,1778-06-03,1777,1778,324,154
"26 Nov. 1778-3 July 1779","26 Nov. 1778","3 July 1779",1778-11-26,1779-07-03,1778,1779,330,184
"25 Nov. 1779-8 July 1780","25 Nov. 1779","8 July 1780",1779-11-25,1780-07-08,1779,1780,329,190
"31 Oct. 1780-16 July 1781","31 Oct. 1780","16 July 1781",1780-10-31,1781-07-16,1780,1781,305,197
"27 Nov. 1781-11 July 1782","27 Nov. 1781","11 July 1782",1781-11-27,1782-07-11,1781,1782,331,192
