sale_begin,sale_no,is_input
1778/02/05,A1828,no
1778/02/06,A1829,no
1778/02/11,A1830,no
1778/02/13,A1831,no
1778/02/20,A1832,no
1778/02/24,A1833,no
1778/03/06,A1835,no
1778/03/09,A1834,no
1778/03/20,A1836,no
1778/03/20,A1837,no
1778/03/26,A1838,no
1778/04/10,A1839,no
1778/04/10,A1840,no
1778/04/15,A1841,no
1778/04/22,A1842,no
1778/04/27,A1843,no
1778/05/04,A1844,no
1778/05/11,A1845,no
1778/05/14,A1846,no
1778/05/15,A1847,no
1778/05/16,A1848,no
1778/05/20,A1849,no
1778/06/01,A1850,no
1778/06/15,A1851,no
1778/06/19,A1852,no
1778/06/23,A1853,no
1778/06/26,A1854,no
1778/07/07,A1855,no
1778/07/13,A1856,no
1778/07/22,A1857,no
1778/08/17,A1858,no
1778/09/16,A1859,no
1778/09/16,A1860,no
1778/10/05,A1860a,yes
1778/10/12,A1861,no
1778/10/15,A1862,no
1778/10/26,A1863,no
1778/11/02,A1864,no
1778/11/26,A1865,no
1778/11/30,A1866,no
1778/12/14,A1867,no
1778/12/16,A1868,no
1778/12/19,A1869,no
1779/00/00,A1870,no
1779/00/00,A1871,no
1779/01/18,A1872,no
1779/01/22,A1873,no
1779/02/04,A1874,no
1779/02/18,A1875,no
1779/02/22,A1876,no
1779/02/25,A1877,no
1779/02/26,A1878,no
1779/03/03,A1879,no
1779/03/05,A1880,no
1779/03/08,A1881,no
1779/03/15,A1882,yes
1779/03/18,A1882a,yes
1779/03/18,A1883,no
1779/03/19,A1884,no
1779/03/26,A1885,no
1779/04/16,A1886,no
1779/04/23,A1887,no
1779/04/29,A1888,no
1779/05/08,A1889,no
1779/05/13,A1890,no
1779/06/01,A1891,yes
1779/06/02,A1892,no
1779/06/03,A1893,yes
1779/06/11,A1894,no
1779/06/12,A1895,no
1779/06/14,A1896,no
1779/07/19,A1897,no
1779/07/23,A1898,no
1779/08/02,A1899,no
1779/08/06,A1900,no
1779/09/02,A1901,yes
1779/09/23,A1902,no
1779/09/28,A1903,no
1779/11/26,A1904,yes
1779/12/02,A1905,no
1779/12/10,A1906,no
1779/12/13,A1907,no
1780/00/00,A3900a,yes
1780/00/00,A3900b,yes
1780/02/02,A3900,yes
1780/02/09,A3901,yes
1780/02/18,A3903,yes
1780/02/25,A3904,yes
1780/02/28,A3904a,yes
1780/03/01,A3905,no
1780/03/02,A3906,yes
1780/03/10,A3907,yes
1780/03/13,A3908,no
1780/03/25,A3908b,yes
1780/03/27,A3908c,yes
1780/03/30,A3908a,yes
1780/04/07,A3909,yes
1780/04/26,A3910,yes
1780/04/28,A3910a,yes
1780/04/29,A3911,yes
1780/05/01,A3912,no
1780/05/03,A3913,no
1780/05/05,A3914,yes
1780/05/15,A3915,yes
1780/05/15,A3916,no
1780/05/24,A4021a,yes
1780/05/25,A3917,no
1780/05/25,A3918,yes
1780/05/26,A3919,yes
1780/06/01,A3920,yes
1780/06/09,A3921,yes
1780/06/09,A3922,yes
1780/08/30,A3923,no
1780/09/23,A3924,yes
1780/09/28,A3925,yes
1780/10/01,A3927,no
1780/10/14,A3926,yes
1780/11/30,A3928,yes
1780/12/15,A3929,yes
1781/02/02,A4022,no
1781/02/15,A4023,yes
1781/02/16,A4001a,yes
1781/03/12,A4024,yes
1781/03/16,A4025,yes
1781/03/19,A4026,yes
1781/03/21,A4027,yes
1781/03/23,A4028,yes
1781/03/30,A4000,yes
1781/03/30,A4028b,yes
1781/04/04,A4028a,yes
1781/04/30,A4029,yes
1781/04/30,A4030,no
1781/05/03,A4031,yes
1781/05/10,A4032,yes
1781/05/15,A4033,yes
1781/05/16,A4034,yes
1781/05/25,A4035,no
1781/06/01,A4036,yes
1781/06/20,A4037,no
1781/06/21,A4038,yes
1781/06/28,A4038a,yes
1781/07/02,A4038b,yes
1781/08/06,A4039,yes
1781/08/27,A4039a,yes
1781/09/18,A4039b,yes
1781/10/25,A4039c,yes
1781/11/02,A4040,yes
1781/11/28,A4041,yes
1781/11/29,A4041a,yes
1781/11/30,A4042,yes
1781/12/03,A4043,yes
1781/12/06,A4044,no
1781/12/11,A4046,yes
1781/12/14,A4045,yes
1782/00/00,A4090,no
1782/01/09,A4047,yes
1782/01/12,A4047a,yes
1782/01/21,A4047b,yes
1782/01/25,A4048,yes
1782/01/28,A4049,no
1782/01/31,A4050,no
1782/02/06,A4051,no
1782/02/16,A4052,yes
1782/02/20,A4052a,yes
1782/02/24,A4063,no
1782/02/28,A4053,yes
1782/03/01,A4054,yes
1782/03/06,A4055,no
1782/03/08,A4056,yes
1782/03/12,A4057,no
1782/03/22,A4058,yes
1782/03/25,A4059,yes
1782/04/03,A4060,yes
1782/04/19,A4061,yes
1782/04/22,A4062,yes
1782/04/24,A4064,yes
1782/04/26,A4065,yes
1782/04/29,A4066,yes
1782/05/06,A4067,yes
1782/05/10,A4068,yes
1782/05/14,A4068a,yes
1782/05/17,A4069,yes
1782/05/29,A4070,yes
1782/06/07,A4071,yes
1782/06/10,A4072,no
1782/06/11,A4073,yes
1782/06/19,A4074,yes
1782/07/04,A4075,yes
1782/08/12,A4076,yes
1782/09/16,A4078,yes
1782/09/16,A4079,no
1782/09/18,A4080,no
1782/09/19,A4080a,yes
1782/10/05,A4081,yes
1782/10/07,A4082,no
1782/10/25,A4083,yes
1782/10/26,A4084,yes
1782/11/16,A4085,yes
1782/11/27,A4086,yes
1782/11/29,A4087,yes
1782/12/05,A4087a,yes
1782/12/19,A4088,no
1783/01/20,A4091,yes
1783/01/27,A4092,no
1783/01/31,A4092a,yes
1783/02/11,A4092b,yes
1783/02/15,A4093,yes
1783/02/22,A4094,yes
1783/02/24,A4095,yes
1783/03/00,A4101,no
1783/03/10,A4001,yes
1783/03/14,A4096,yes
1783/03/17,A4097,yes
1783/03/27,A4098,yes
1783/03/29,A4099,no
1783/03/29,A4100,yes
1783/04/04,A4102,yes
1783/04/08,A4103,yes
1783/04/11,A4104,yes
1783/04/17,A4105,no
1783/04/23,A4106,no
1783/05/02,A4107,yes
1783/05/05,A4108,yes
1783/05/08,A4002,yes
1783/05/08,A4108a,yes
1783/05/15,A4109,yes
1783/05/19,A4109a,yes
1783/05/20,A4110,no
1783/05/22,A4111,yes
1783/05/24,A4112,no
1783/05/26,A4003,yes
1783/05/26,A4113,yes
1783/05/27,A4113a,yes
1783/05/30,A4114,yes
1783/06/03,A4115,yes
1783/06/18,A4116,yes
1783/06/19,A4117,no
1783/06/19,A4118,yes
1783/06/20,A4119,no
1783/06/30,A4120,yes
1783/07/05,A4120c,yes
1783/07/07,A4120b,yes
1783/07/11,A4120a,yes
1783/09/29,A4121,no
1783/10/03,A4122,yes
1783/10/08,A4123,no
1783/10/10,A4124,yes
1783/10/24,A4125,yes
1783/11/07,A4126,yes
1783/11/13,A4126a,yes
1783/12/12,A4127,yes
1783/12/16,A4127a,yes
1784/01/14,A4128,yes
1784/01/14,A4129,yes
1784/01/16,A4130,yes
1784/01/23,A4131,yes
1784/01/26,A4132,yes
1784/02/11,A4134,yes
1784/02/14,A4135,yes
1784/02/16,A4136,yes
1784/02/24,A4138,yes
1784/03/01,A4139,yes
1784/03/12,A4140,yes
1784/03/15,A4141,yes
1784/03/27,A4142,yes
1784/03/29,A4143,no
1784/04/07,A4144,yes
1784/04/17,A4145,yes
1784/04/19,A4146,yes
1784/05/03,A4146a,yes
1784/05/07,A4147,yes
1784/05/21,A4148,yes
1784/05/27,A4149,yes
1784/05/31,A4150,yes
1784/06/02,A4151,yes
1784/06/03,A4152,no
1784/06/09,A4153,no
1784/06/10,A4154,yes
1784/06/15,A4155,no
1784/06/21,A4155a,yes
1784/07/08,A4156,yes
1784/07/12,A4157,no
1784/07/26,A4158,no
1784/07/30,A4004,yes
1784/08/07,A4159,no
1784/09/08,A4160,no
1784/10/01,A4161,no
1784/10/12,A4162,yes
1784/11/10,A4163,yes
1784/11/12,A4164,yes
1784/11/23,A4165,yes
1784/12/00,A4168,no
1784/12/03,A4166,yes
1784/12/20,A4166a,yes
1784/12/22,A4167,yes
1785/00/00,A4005,yes
1785/00/00,A4004a,yes
1785/00/00,A4169a,yes
1785/01/19,A4169,no
1785/01/22,A4170,yes
1785/01/28,A4171,yes
1785/02/03,A4171a,yes
1785/02/07,A4172,yes
1785/02/25,A4006,yes
1785/02/28,A4173,yes
1785/03/02,A4173a,yes
1785/03/18,A4007,yes
1785/03/23,A4174,yes
1785/04/02,A4008,yes
1785/04/09,A4175,yes
1785/04/09,A4176,yes
1785/04/11,A4176a,yes
1785/04/14,A4177,yes
1785/04/14,A4177a,yes
1785/04/16,A4178,yes
1785/04/19,A4179,yes
1785/04/22,A4180,yes
1785/04/25,A4180a,yes
1785/04/26,A4009,yes
1785/04/28,A4181,yes
1785/04/29,A4182,yes
1785/05/05,A4183,yes
1785/05/09,A4009a,yes
1785/05/10,A4185,yes
1785/05/11,A4010,yes
1785/05/18,A4010a,yes
1785/05/23,A4186,yes
1785/05/24,A4187,yes
1785/05/26,A4188,yes
1785/05/27,A4189,yes
1785/05/30,A4190,yes
1785/05/31,A4191,yes
1785/06/03,A4192,yes
1785/06/07,A4192a,yes
1785/06/09,A4193,yes
1785/06/10,A4194,yes
1785/06/13,A4195,yes
1785/06/16,A4196,yes
1785/06/18,A4197,yes
1785/06/23,A4198,yes
1785/06/27,A4199,no
1785/06/28,A4200,yes
1785/07/01,A4201,yes
1785/07/05,A4202,yes
1785/07/12,A4203,yes
1785/07/15,A4204,yes
1785/08/08,A4205,yes
1785/08/19,A4206,yes
1785/09/16,A4207,no
1785/10/10,A4208,yes
1785/11/04,A4209,yes
1785/11/25,A4209a,yes
1785/11/25,A4209b,yes
1785/11/30,A4210,yes
1785/12/02,A4211,yes
1785/12/03,A4212,yes
1785/12/12,A4213,no
1785/12/16,A4214,no
1785/12/23,A4213a,yes
1786/01/16,A4215,yes
1786/01/18,A4239a,yes
1786/01/18,A4214a,yes
1786/01/23,A4005a,yes
1786/01/27,A4011,yes
1786/02/03,A4215a,yes
1786/02/10,A4216,yes
1786/02/13,A4217,yes
1786/02/15,A4218,yes
1786/02/17,A4219,yes
1786/02/20,A4220a,no
1786/02/22,A4220,no
1786/03/01,A4221,no
1786/03/06,A4222,no
1786/03/06,A4222b,yes
1786/03/09,A4222a,yes
1786/03/11,A4223,yes
1786/03/20,A4224,no
1786/03/20,A4225,yes
1786/03/22,A4012,yes
1786/03/23,A4227,yes
1786/03/28,A4228,yes
1786/04/05,A4229,yes
1786/04/08,A4013,yes
1786/04/13,A4231,yes
1786/04/24,A4232,yes
1786/04/28,A4233,yes
1786/05/02,A4234,no
1786/05/09,A4235,no
1786/05/11,A4236,yes
1786/05/17,A4237,yes
1786/05/25,A4238,yes
1786/05/26,A4238a,yes
1786/06/08,A4014,yes
1786/06/08,A4239,yes
1786/06/16,A4240,yes
1786/06/23,A4241,yes
1786/06/24,A4244b,yes
1786/06/28,A4242,yes
1786/07/13,A4015,yes
1786/07/19,A4243,yes
1786/07/20,A4244,yes
1786/07/24,A4244a,yes
1786/07/26,A4245,yes
1786/08/01,A4246,yes
1786/09/20,A4246a,yes
1786/10/17,A4247,no
1786/11/11,A4247a,yes
1786/11/17,A4248,no
1786/12/07,A4249,no
1786/12/07,A4248a,yes
1786/12/12,A4250,no
1786/12/14,A4251,yes
1786/12/21,A4252,yes
1786/12/23,A4253,yes
1787/00/00,A4298,no
1787/00/00,A4299,yes
1787/01/17,A4254,yes
1787/01/19,A4255,yes
1787/01/26,A4257,yes
1787/02/05,A4258,yes
1787/02/07,A4259,yes
1787/02/07,A4260,yes
1787/02/09,A4261,yes
1787/02/10,A4261a,no
1787/02/15,A4262,yes
1787/02/16,A4263,yes
1787/02/17,A4264,yes
1787/03/03,A4265,yes
1787/03/07,A4265a,yes
1787/03/10,A4266,yes
1787/03/14,A4268,yes
1787/03/14,A4269,yes
1787/03/16,A4270,yes
1787/03/19,A4271,yes
1787/03/21,A4272,yes
1787/03/25,A4272a,no
1787/03/30,A4273,no
1787/03/31,A4274,no
1787/04/02,A4275,yes
1787/04/03,A4275a,yes
1787/04/14,A4275b,yes
1787/04/19,A4276,yes
1787/04/24,A4276a,yes
1787/04/25,A4276b,yes
1787/04/26,A4277,yes
1787/04/26,A4278,yes
1787/05/01,A4280,yes
1787/05/03,A4281,yes
1787/05/09,A4282,yes
1787/05/19,A4283,no
1787/05/28,A4284,no
1787/05/30,A4285,yes
1787/05/30,A4285a,yes
1787/06/07,A4286,yes
1787/06/07,A4286a,yes
1787/06/11,A4287,no
1787/06/25,A4288,yes
1787/09/15,A4288a,yes
1787/10/05,A4289,no
1787/10/27,A4290,yes
1787/10/29,A4291,no
1787/11/03,A4292,yes
1787/11/23,A4293,yes
1787/11/28,A4293a,yes
1787/11/29,A4293b,yes
1787/12/01,A4294,yes
1787/12/06,A4295,no
1787/12/12,A4296,yes
1787/12/19,A4296a,yes
1787/12/21,A4297,yes
1788/00/00,A4344,no
1788/00/00,A4345,no
1788/01/05,A4300,yes
1788/01/25,A4301,yes
1788/02/01,A4302,yes
1788/02/01,A4303,yes
1788/02/08,A4304,yes
1788/02/09,A4305,yes
1788/02/09,A4306,no
1788/02/14,A4306b,yes
1788/02/14,A4306a,yes
1788/02/15,A4307,yes
1788/02/21,A4308,yes
1788/02/21,A4308a,yes
1788/02/25,A4309,yes
1788/02/25,A4310,no
1788/02/25,A4311,yes
1788/03/08,A4312,yes
1788/03/08,A4313,yes
1788/03/12,A4314,yes
1788/03/12,A4315,yes
1788/03/12,A4314a,yes
1788/03/14,A4016,yes
1788/03/15,A4316,yes
1788/03/17,A4017,yes
1788/03/20,A4317,yes
1788/03/20,A4317a,yes
1788/04/02,A4318,yes
1788/04/05,A4319,yes
1788/04/07,A4320,no
1788/04/07,A4320a,yes
1788/04/08,A4144a,yes
1788/04/08,A4321,yes
1788/04/10,A4321a,yes
1788/04/15,A4322,yes
1788/04/18,A4323,yes
1788/04/19,A4324,no
1788/04/25,A4325,yes
1788/04/26,A4326,yes
1788/04/29,A4327,yes
1788/04/30,A4328,yes
1788/05/06,A4328a,yes
1788/05/07,A4329,no
1788/05/08,A4329a,yes
1788/05/10,A4330,no
1788/05/22,A4331,yes
1788/05/23,A4332,yes
1788/05/26,A4332a,yes
1788/05/30,A4333,yes
1788/06/05,A4334,yes
1788/06/15,A4334a,no
1788/06/17,A4335,yes
1788/06/18,A4336,yes
1788/06/27,A4337,no
1788/08/05,A4337a,yes
1788/09/15,A4338,yes
1788/09/15,A4338a,yes
1788/09/24,A4339,yes
1788/09/29,A4339a,yes
1788/09/30,A4339b,yes
1788/10/18,A4340,yes
1788/11/07,A4341,yes
1788/12/08,A4342,yes
1788/12/12,A4343,yes
1788/12/20,A4343a,yes
1789/00/00,A4378,no
1789/01/02,A4343b,yes
1789/01/05,A4343c,yes
1789/01/08,A4346,yes
1789/01/13,A4347,yes
1789/01/15,A4347a,yes
1789/01/22,A4348,no
1789/01/23,A4018,yes
1789/01/30,A4349,yes
1789/02/02,A4350,yes
1789/02/06,A4351,yes
1789/02/28,A4352,yes
1789/03/09,A4353,no
1789/03/11,A4354,yes
1789/03/18,A4355,yes
1789/03/18,A4355a,yes
1789/03/19,A4356,yes
1789/03/30,A4019,yes
1789/04/00,A4357a,yes
1789/04/03,A4357,yes
1789/04/27,A4358,yes
1789/04/30,A4359,no
1789/05/09,A4360,yes
1789/05/20,A4361,yes
1789/05/27,A4362,yes
1789/05/28,A4363,yes
1789/05/28,A4364,yes
1789/06/02,A4364b,yes
1789/06/03,A4364a,yes
1789/06/06,A4365,yes
1789/06/08,A4366,yes
1789/06/10,A4367,yes
1789/06/11,A4368,yes
1789/06/25,A4367a,yes
1789/06/29,A4368a,yes
1789/07/20,A4369,yes
1789/08/03,A4369a,no
1789/08/18,A4370,no
1789/09/10,A4371,no
1789/09/26,A4372,yes
1789/10/17,A4373,yes
1789/11/04,A4373a,yes
1789/11/06,A4373b,yes
1789/11/07,A4374,yes
1789/11/11,A4374a,yes
1789/11/20,A4375,yes
1789/12/08,A4375a,yes
1789/12/10,A4020,yes
1789/12/11,A4376,yes
1789/12/12,A4377,yes
1790/00/00,A4388b,yes
1790/01/08,A4379,yes
1790/01/12,A4379a,yes
1790/01/16,A4380,yes
1790/01/23,A4381,yes
1790/01/23,A4382,yes
1790/02/05,A4383,yes
1790/02/06,A4384,yes
1790/02/11,A4385,yes
1790/02/13,A4021,yes
1790/02/19,A4386,yes
1790/02/20,A4387,yes
1790/02/24,A4387a,yes
1790/02/26,A4388,yes
1790/03/03,A4388a,yes
1790/03/05,A4389,yes
1790/03/10,A4389a,yes
1790/03/10,A4389b,yes
1790/03/12,A4390,yes
1790/03/19,A4391,yes
1790/03/23,A4392,yes
1790/03/24,A4393,yes
1790/03/26,A4394,yes
1790/03/31,A4395,no
1790/04/02,A4395a,no
1790/04/14,A4395b,yes
1790/04/16,A4396,yes
1790/04/17,A4397,yes
1790/04/22,A4399,yes
1790/04/24,A4400,yes
1790/04/29,A4400a,yes
1790/04/30,A4401,yes
1790/04/30,A4402,yes
1790/05/01,A4403,yes
1790/05/03,A4404,yes
1790/05/04,A4405,no
1790/05/08,A4406,no
1790/05/10,A4407,no
1790/05/14,A4408,no
1790/05/20,A4409,yes
1790/05/21,A4410,yes
1790/05/22,A4411,no
1790/05/25,A4411a,yes
1790/05/26,A4412,yes
1790/06/02,A4413,yes
1790/06/07,A4413a,yes
1790/06/08,A4414,yes
1790/06/08,A4415,yes
1790/06/08,A4415a,yes
1790/06/12,A4417,yes
1790/07/21,A4417a,yes
1790/08/07,A4418,yes
1790/08/27,A4419,no
1790/09/10,A4420,yes
1790/09/27,A4420a,yes
1790/11/06,A4421,yes
1790/11/09,A4422,no
1790/11/09,A4423,yes
1790/12/24,A4424,yes
1791/00/00,A5000,yes
1791/00/00,A5001,no
1791/00/00,A5002,no
1791/01/01,A5003,yes
1791/01/07,A5004,yes
1791/01/08,A5005,yes
1791/01/12,A5006,yes
1791/01/13,A5006a,yes
1791/01/14,A5007,yes
1791/01/19,A5008,yes
1791/01/20,A5009,yes
1791/01/21,A5010,yes
1791/01/24,A5011,yes
1791/01/31,A5011a,yes
1791/02/02,A5012,yes
1791/02/05,A5013,yes
1791/02/05,A5013a,yes
1791/02/07,A5014,yes
1791/02/09,A5015,yes
1791/02/11,A5016,yes
1791/02/11,A5017,yes
1791/02/18,A5018,yes
1791/02/19,A5019,yes
1791/02/26,A5020,yes
1791/03/04,A5021,yes
1791/03/09,A5022,yes
1791/03/09,A5022a,yes
1791/03/11,A5023,yes
1791/03/14,A5024,yes
1791/03/14,A5025,yes
1791/03/16,A5025a,yes
1791/03/17,A5026,yes
1791/03/19,A5027,yes
1791/03/23,A5027a,yes
1791/03/28,A5028,yes
1791/03/31,A5029,yes
1791/03/31,A5029b,yes
1791/04/00,A5029a,no
1791/04/01,A5030,yes
1791/04/04,A5030a,yes
1791/04/09,A5031,yes
1791/04/12,A5032,yes
1791/04/15,A5033,yes
1791/04/16,A5034,yes
1791/04/20,A5035,yes
1791/04/29,A5035a,yes
1791/05/00,A5036,no
1791/05/07,A5037,yes
1791/05/09,A5038,yes
1791/05/11,A5040,yes
1791/05/11,A5041,yes
1791/05/14,A5042,yes
1791/05/16,A5043,yes
1791/05/20,A5044,yes
1791/05/21,A5044a,yes
1791/05/23,A5045,yes
1791/05/26,A5046,yes
1791/05/26,A5047,yes
1791/05/26,A5048,yes
1791/06/01,A5049,yes
1791/06/02,A5050,yes
1791/06/08,A5051,yes
1791/06/10,A5052,yes
1791/06/10,A5053,yes
1791/06/13,A5054,yes
1791/06/16,A5055,yes
1791/06/16,A4473,no
1791/06/20,A5056,yes
1791/06/20,A5057,yes
1791/06/22,A5058,yes
1791/06/27,A5059,yes
1791/06/27,A5060,yes
1791/07/14,A5060a,yes
1791/07/18,A5061,yes
1791/07/30,A5061a,yes
1791/08/04,A5062,yes
1791/08/08,A5063,yes
1791/08/10,A5064,yes
1791/08/18,A5065,yes
1791/08/22,A5066,yes
1791/09/01,A5065a,yes
1791/10/06,A5065b,yes
1791/10/08,A5067,yes
1791/11/04,A5068,yes
1791/11/15,A5069,yes
1791/11/22,A5070,yes
1791/11/24,A5070a,yes
1791/11/29,A5071,yes
1791/12/03,A5072,yes
1791/12/10,A5073,yes
1791/12/17,A5074,yes
1791/12/30,A5075,yes
1791/12/31,A5076,yes
1792/00/00,A5134,yes
1792/00/00,A5134a,yes
1792/01/10,A5077,yes
1792/01/14,A5077a,yes
1792/01/16,A5078,yes
1792/01/19,A5079,yes
1792/01/20,A5080,yes
1792/01/21,A5081,yes
1792/01/24,A5082,yes
1792/01/24,A5082a,yes
1792/01/26,A5083,yes
1792/01/28,A5083a,yes
1792/01/31,A5084,yes
1792/02/00,A5085,no
1792/02/03,A5087,yes
1792/02/09,A5088,yes
1792/02/10,A5088a,yes
1792/02/14,A5089,yes
1792/02/17,A5090,yes
1792/02/18,A5091,yes
1792/02/20,A5092,yes
1792/02/20,A5093,yes
1792/03/00,A5094,no
1792/03/02,A5095,yes
1792/03/05,A5095b,yes
1792/03/06,A5095a,no
1792/03/09,A5096,yes
1792/03/09,A5097,yes
1792/03/10,A5098,yes
1792/03/12,A5099,yes
1792/03/12,A5100,yes
1792/03/14,A5101,yes
1792/03/16,A5102,yes
1792/03/16,A5103,no
1792/03/19,A5104,no
1792/03/21,A5105,no
1792/03/23,A5105a,yes
1792/03/24,A5106,yes
1792/03/24,A5107,yes
1792/03/30,A5108,yes
1792/03/30,A5109,yes
1792/03/31,A5110,yes
1792/04/04,A5110a,yes
1792/04/07,A5111,yes
1792/04/13,A5111a,yes
1792/04/16,A5112,yes
1792/04/20,A5113,yes
1792/04/23,A5113a,yes
1792/04/24,A5113b,yes
1792/04/27,A5114,yes
1792/04/28,A5115,yes
1792/04/30,A5116,yes
1792/05/00,A5117,no
1792/05/07,A5118,yes
1792/05/14,A5117a,yes
1792/05/15,A5117b,yes
1792/05/16,A5119,no
1792/05/24,A5120,yes
1792/05/26,A5121,no
1792/06/02,A5122,yes
1792/06/07,A5123,yes
1792/06/08,A5124,yes
1792/06/22,A5125,no
1792/06/25,A5126,yes
1792/07/05,A5126a,yes
1792/07/10,A5127,yes
1792/09/10,A5127a,yes
1792/09/28,A5128,yes
1792/10/01,A5128a,yes
1792/10/09,A5129,yes
1792/10/17,A5130,yes
1792/11/01,A5131,yes
1792/11/16,A5132,yes
1792/11/27,A5133,yes
1792/12/14,A5135,yes
1792/12/18,A5136,yes
1792/12/18,A5137,yes
1792/12/21,A5138,yes
1793/00/00,A5139b,yes
1793/00/00,A5140a,yes
1793/01/02,A5139,yes
1793/01/28,A5139c,yes
1793/01/28,A5139a,yes
1793/01/29,A5140,yes
1793/01/30,A5140b,yes
1793/01/31,A5141,yes
1793/02/02,A5142,yes
1793/02/04,A5143,yes
1793/02/05,A5144,no
1793/02/06,A5145,yes
1793/02/06,A5146,yes
1793/02/08,A5147,yes
1793/02/15,A5148,yes
1793/02/16,A5149,yes
1793/02/20,A5150,yes
1793/02/21,A5150a,yes
1793/02/22,A5151,yes
1793/02/25,A5152,yes
1793/03/15,A5153,no
1793/03/15,A5154,yes
1793/03/16,A5155,no
1793/03/18,A5156,yes
1793/03/20,A5156a,yes
1793/03/21,A5157,yes
1793/03/22,A5158,yes
1793/03/22,A5159,yes
1793/03/25,A5160,yes
1793/03/25,A5161,no
1793/03/27,A5162,yes
1793/03/27,A5162a,yes
1793/04/00,A5163,yes
1793/04/06,A5164,yes
1793/04/10,A5165,yes
1793/04/12,A5166,yes
1793/04/12,A5165a,yes
1793/04/16,A5167,yes
1793/04/18,A5168,yes
1793/04/18,A5169,no
1793/04/20,A4579,yes
1793/04/24,A5169a,yes
1793/04/26,A5170,yes
1793/04/26,A5171,yes
1793/04/29,A5172,yes
1793/04/29,A5173,yes
1793/05/01,A5174,yes
1793/05/02,A5174a,yes
1793/05/07,A5175,no
1793/05/07,A4585,no
1793/05/10,A5176,yes
1793/05/13,A5176a,yes
1793/05/14,A5177,yes
1793/05/14,A5178,no
1793/05/22,A5179,yes
1793/05/23,A5181,yes
1793/05/24,A5182,yes
1793/05/29,A5183,yes
1793/05/30,A5184,no
1793/06/05,A5185,yes
1793/06/08,A5186,yes
1793/06/12,A5187,no
1793/06/14,A5188,yes
1793/06/19,A5189,no
1793/06/21,A5190,yes
1793/06/26,A5191,no
1793/07/01,A5192a,yes
1793/10/10,A5193,yes
1793/10/31,A5194,yes
1793/11/08,A5195,yes
1793/11/11,A5196,yes
1793/11/14,A5196a,yes
1793/11/15,A5197,no
1793/11/22,A5197a,yes
1793/11/25,A5198,yes
1793/12/03,A5198a,yes
1793/12/07,A5198c,yes
1793/12/17,A5198b,yes
1793/12/18,A5199,yes
1793/12/20,A5200,no
1794/00/00,A5201,no
1794/00/00,A5202,yes
1794/01/11,A5203,no
1794/01/11,A5204,yes
1794/01/17,A5405,yes
1794/01/20,A5405a,yes
1794/01/23,A5407,yes
1794/01/24,A5408,yes
1794/01/29,A5409,yes
1794/02/07,A5410,yes
1794/02/10,A5410a,yes
1794/02/14,A5411,yes
1794/02/27,A5411b,yes
1794/03/06,A5411a,yes
1794/03/07,A5412,yes
1794/03/13,A5413,yes
1794/03/19,A5414,no
1794/03/21,A5415,yes
1794/03/26,A5416,no
1794/03/27,A4620,yes
1794/03/28,A4621,no
1794/03/29,A5417,yes
1794/03/29,A5418,no
1794/04/00,A5001a,yes
1794/04/04,A5419,yes
1794/04/07,A5420,yes
1794/04/20,A5420a,yes
1794/04/25,A5421,yes
1794/04/28,A4627,yes
1794/04/30,A5421a,yes
1794/05/00,A5422,no
1794/05/02,A5422a,yes
1794/05/03,A5423,yes
1794/05/08,A5424,yes
1794/05/12,A5425,yes
1794/05/13,A5426,yes
1794/05/16,A5427,yes
1794/05/21,A5428,yes
1794/05/22,A5429,yes
1794/05/22,A5429a,yes
1794/05/23,A5430,yes
1794/05/23,A5431,yes
1794/05/26,A4635,yes
1794/05/26,A4636,yes
1794/05/29,A5433,yes
1794/06/05,A5434,no
1794/06/09,A5435,no
1794/06/10,A5436,no
1794/06/14,A5437,yes
1794/06/16,A5438,yes
1794/06/18,A5439,yes
1794/06/23,A5440,yes
1794/07/02,A5439a,yes
1794/07/09,A5440a,yes
1794/09/19,A5440b,yes
1794/09/25,A5441,yes
1794/09/29,A5441a,yes
1794/11/13,A5442,no
1794/11/18,A5443,yes
1794/11/28,A5443a,yes
1794/12/08,A5444,no
1794/12/15,A5445,yes
1794/12/19,A5446,yes
1794/12/22,A5447,no
1794/12/31,A5448,yes
1795/00/00,A5450,yes
1795/01/02,A5452a,yes
1795/01/03,A5453,yes
1795/01/10,A5454,yes
1795/01/12,A5455,yes
1795/01/17,A5456,yes
1795/01/19,A5457,yes
1795/01/29,A5458,yes
1795/01/31,A5458a,yes
1795/02/07,A5459,yes
1795/02/14,A5460,yes
1795/02/24,A5461,yes
1795/03/13,A5462,yes
1795/03/21,A5463,yes
1795/03/23,A5464,yes
1795/04/04,A5465,yes
1795/04/15,A5466,yes
1795/04/18,A5467,yes
1795/04/23,A5467a,no
1795/04/27,A5468,no
1795/04/27,A5469,yes
1795/05/00,A5469a,yes
1795/05/01,A5470,yes
1795/05/06,A5470a,yes
1795/05/07,A5471,yes
1795/05/08,A5472,yes
1795/05/14,A5472a,yes
1795/05/15,A5473,yes
1795/05/16,A5474,yes
1795/05/18,A5475,yes
1795/05/20,A5476,yes
1795/05/20,A5475a,yes
1795/05/26,A5477,yes
1795/05/28,A5478,no
1795/05/29,A5479,yes
1795/05/29,A5480,yes
1795/06/06,A5481,no
1795/06/08,A5482,no
1795/06/09,A5483,yes
1795/06/11,A5484,yes
