sale_begin,sale_no,is_input
1730/03/10,A288,no
1730/04/01,A288a,yes
1730/09/20,A289,no
1732/00/00,A290,no
1732/02/22,A291,no
1732/06/01,A291a,no
1732/06/26,A292,no
1733/03/13,A293,no
1733/04/18,A294,no
1733/04/25,A295,no
1734/04/04,A298,no
1734/04/11,A299,yes
1734/04/17,A300,no
1735/02/24,A300a,no
1735/02/26,A301,no
1735/03/18,A302,no
1735/04/28,A303,no
1735/05/05,A304,yes
1735/05/06,A305,yes
1736/02/02,A306,no
1736/05/18,A307,yes
1737/05/17,A308,yes
1737/05/24,A309,yes
1737/11/08,A309b,yes
1738/02/18,A309c,yes
1738/05/01,A310,no
1738/05/04,A311a,no
1738/05/16,A311,no
1739/01/14,A312,no
1739/02/22,A313,no
1739/05/04,A316,yes
1739/12/03,A317,no
1740/03/06,A314,no
1740/03/11,A315,yes
1740/03/24,A318,no
1740/04/15,A319,yes
1740/04/17,A320,no
1740/04/21,A321,no
1740/12/16,A321a,yes
1741/00/00,A1000,yes
1741/00/00,A1001,yes
1741/00/00,A1002,yes
1741/03/12,A1003,yes
1741/04/02,A322,no
1741/04/15,A1004,yes
1742/00/00,A1006,yes
1742/00/00,A1007,yes
1742/03/08,A1009,yes
1742/03/16,A1005,yes
1742/04/06,A1009a,no
1742/04/29,A1010,yes
1742/05/00,A1011,yes
1742/12/09,A1012,yes
1743/00/00,A1014,yes
1743/01/25,A1016,yes
1743/02/04,A1017,yes
1743/03/02,A1013a,yes
1743/03/17,A1018,yes
1743/03/24,A1015,yes
1743/11/10,A1018a,yes
1744/00/00,A1021,yes
1744/00/00,A1022,no
1744/00/00,A1023,no
1744/02/10,A1024,no
1744/02/28,A1019,yes
1744/02/29,A1013,yes
1744/03/13,A1024a,yes
1745/02/07,A1026,no
1745/02/14,A1027,no
1745/03/01,A1028,no
1745/03/13,A1020,yes
1745/04/00,A1025,no
1745/07/08,A1028b,yes
1746/00/00,A1029,no
1746/01/22,A1029a,no
1746/01/31,A1030,no
1746/02/03,A1031,no
1746/03/26,A1031a,yes
1746/04/17,A1032,no
1746/05/28,A1034,no
1746/12/10,A1034a,no
1746/12/17,A1035,no
1746/12/22,A1036,no
1747/01/22,A1037,no
1747/02/20,A1038,yes
1747/02/25,A1039,no
1747/03/03,A1040,no
1747/04/06,A1041,no
1747/05/06,A1042,no
